Fuel Type Code,State,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,Latitude,Longitude
ELEC,HI,,2,,21.42849,-157.998343
ELEC,MD,1,2,,39.291785,-76.610539
ELEC,MD,,2,1,39.5059,-76.38238
ELEC,MD,,2,,39.256947,-76.730918
ELEC,MD,,1,1,39.39116,-77.40777
ELEC,MD,,1,,39.177414,-77.249773
ELEC,MD,,1,1,38.827,-76.92355
ELEC,MD,,1,1,39.11377,-77.16099
ELEC,MD,,1,1,39.077447,-76.947933
ELEC,MN,,5,,44.946327,-93.095535
ELEC,MN,,2,,44.948972,-93.0962
ELEC,NC,,1,1,35.39209,-80.62277
ELEC,NC,,1,1,35.04196,-78.95652
ELEC,NC,,1,,35.93784,-79.99629
ELEC,NC,,1,,34.634487,-78.997134
ELEC,VA,,1,,37.578536,-77.48754
ELEC,NV,,1,,39.467032,-119.779038
ELEC,TX,,2,,30.256917,-97.749169
ELEC,VA,,1,,37.158,-80.4204
ELEC,VA,,2,1,37.5036,-77.61842
ELEC,WA,,2,,47.616104,-122.19696
ELEC,WA,,2,,47.61434,-122.194037
ELEC,WI,,2,,43.121878,-89.309902
ELEC,WI,,2,,43.094649,-89.50964
ELEC,MI,,2,,42.790376,-86.101511
ELEC,SC,,1,,34.756982,-82.383799
ELEC,VA,,1,,38.951695,-77.409238
ELEC,SC,,2,,34.840912,-82.400037
ELEC,SC,,1,,34.926241,-82.433164
ELEC,FL,,2,,26.9322,-80.1027
ELEC,MI,,2,,42.6336,-83.220931
ELEC,MI,,24,,42.33476,-83.0608
ELEC,MI,,1,,42.682914,-83.193236
ELEC,MI,,1,,42.166498,-83.780162
ELEC,OH,,2,,41.36684,-81.7638
ELEC,MI,,3,,44.520371,-85.991356
ELEC,MD,4,2,,39.001676,-76.525253
ELEC,VA,,3,,37.578775,-77.489409
ELEC,NC,,2,,35.772881,-78.638502
ELEC,NC,,1,,35.772619,-78.641492
ELEC,NC,1,1,,35.77937,-78.638203
ELEC,OR,2,3,,42.187149,-122.689496
ELEC,GA,,6,1,33.90999,-84.2914
ELEC,IL,,6,,41.97850582,-87.90328
ELEC,NC,,2,,36.009999,-78.921405
ELEC,AR,,1,,36.379802,-94.177871
ELEC,IA,,1,,41.607327,-93.735902
ELEC,IA,,1,,41.00709,-91.981752
ELEC,IA,,1,,41.645933,-93.769432
ELEC,MD,,2,,38.623533,-77.086898
ELEC,MD,,2,,38.369101,-76.960389
ELEC,OR,,1,,42.219548,-122.740005
ELEC,VA,,1,,37.764986,-77.476715
ELEC,NV,,2,,36.145081,-115.227058
ELEC,SC,,2,,34.889453,-82.215505
ELEC,TX,,2,,30.251357,-97.689015
ELEC,TX,,2,,30.18534,-97.801184
ELEC,TX,,2,,30.422284,-97.71646
ELEC,TX,,2,,30.268887,-97.738936
ELEC,VA,,3,,38.447533,-78.870744
ELEC,MN,,3,,45.25643,-94.10853
ELEC,TN,,8,,36.547921,-82.56179
ELEC,WI,,2,,43.002006,-89.423463
ELEC,WI,,1,,43.058323,-89.410359
ELEC,CA,,2,,35.279705,-120.6609
ELEC,NC,,2,,35.92353,-78.599883
ELEC,WA,,2,,47.604115,-122.332907
ELEC,OR,,2,,45.475962,-122.825561
ELEC,VA,,2,,38.803836,-77.516487
ELEC,WA,,2,,47.434021,-122.273183
ELEC,FL,,1,,26.642789,-81.869132
ELEC,FL,,2,,28.503733,-81.422651
ELEC,FL,,2,,27.951258,-82.451781
ELEC,NJ,,2,,40.350118,-74.662732
ELEC,TX,,6,,29.343808,-98.436931
ELEC,HI,,6,,21.2782458,-157.8320917
ELEC,RI,,1,1,41.96074,-71.4948
ELEC,GA,,1,,34.138312,-84.251109
ELEC,FL,,2,,27.499076,-82.569442
ELEC,FL,,2,,27.709441,-82.736735
ELEC,TX,,1,,29.94917,-95.33138
ELEC,FL,,2,,27.493279,-82.573234
ELEC,HI,,1,,21.279142,-157.831689
ELEC,HI,,2,,21.277846,-157.825052
ELEC,PA,,1,,40.44145,-80.149752
ELEC,NC,,2,,35.779082,-78.641779
ELEC,NC,,2,,35.760503,-78.625345
ELEC,NC,,2,,35.862603,-78.643641
ELEC,NC,,1,,35.800443,-78.663445
ELEC,NC,,2,,35.788789,-78.573106
ELEC,NC,1,1,,35.767483,-78.563464
ELEC,PA,,2,,40.632138,-80.054285
ELEC,RI,,5,,41.823099,-71.347614
ELEC,IL,,1,,40.496969,-89.004735
ELEC,IL,1,2,,40.507954,-88.986429
ELEC,LA,,2,,29.920829,-90.117642
ELEC,LA,,3,,29.9347,-90.120883
ELEC,IL,,1,,40.535456,-89.013791
ELEC,CO,,4,,40.593417,-105.0684
ELEC,OH,,8,,39.960356,-82.998458
ELEC,WI,,2,,42.666735,-88.524261
ELEC,HI,,2,,20.68760677,-156.4428675
ELEC,IL,,1,,40.534785,-89.011493
ELEC,MI,,2,,42.969202,-85.670457
ELEC,MI,,2,,42.963679,-85.670993
ELEC,MI,,2,,42.962871,-85.668737
ELEC,TN,,1,,35.61323,-87.034614
ELEC,RI,,1,,41.742755,-71.428289
ELEC,NJ,,2,,40.663848,-74.216585
ELEC,NC,,6,,35.223874,-80.846273
ELEC,PA,,2,,40.492883,-80.200182
ELEC,CO,,1,,40.505604,-105.078041
ELEC,MA,,2,,42.260546,-71.794678
ELEC,MD,,2,,39.290036,-76.621894
ELEC,MD,,2,,39.28651,-76.624935
ELEC,MD,,2,,39.28808,-76.622679
ELEC,MI,,2,,42.41423,-83.1364
ELEC,MN,,2,,44.825192,-93.112679
ELEC,TX,,2,,30.563925,-97.658312
ELEC,WA,,2,,47.424222,-122.256619
ELEC,WA,,2,,47.443255,-122.212445
ELEC,WI,,2,,43.054704,-89.321148
ELEC,IL,,3,,41.955233,-87.865268
ELEC,NC,,1,,35.49416,-79.180591
ELEC,VA,,1,,38.672391,-77.396964
ELEC,FL,,2,,27.901732,-82.721249
ELEC,MD,,1,,39.334156,-76.495725
ELEC,MN,,1,,45.183283,-93.237039
ELEC,SC,,2,,34.004883,-81.032931
ELEC,SC,,2,,34.002107,-81.035726
ELEC,CA,,2,,34.035802,-118.686393
ELEC,FL,,1,,27.988197,-82.392164
ELEC,TN,,4,3,35.940203,-86.813764
ELEC,WA,,2,,47.253809,-122.437429
ELEC,WA,,2,,47.245934,-122.43398
ELEC,CO,,2,,39.742113,-104.991416
ELEC,CT,1,1,,41.769417,-72.681825
ELEC,DC,,13,,38.896703,-77.027621
ELEC,GA,,1,1,34.275207,-83.85946
ELEC,GA,,2,1,34.00995,-84.57675
ELEC,MA,,2,,42.358449,-71.055089
ELEC,MA,,2,,42.799163,-70.847133
ELEC,MA,,2,,42.032751,-71.311914
ELEC,NC,,2,1,36.06368,-79.50374
ELEC,FL,1,2,,26.892152,-80.102668
ELEC,WA,,3,,47.606684,-122.332664
ELEC,WA,,6,,47.622085,-122.347124
ELEC,NY,,1,,41.50406,-74.0684
ELEC,NY,,2,2,42.45165,-75.09985
ELEC,NY,,1,,42.784867,-78.76558
ELEC,NY,,1,1,40.79315,-73.0083
ELEC,NY,,1,,40.99631,-73.66936
ELEC,NY,,2,2,40.92423,-72.70479
ELEC,NY,,3,,43.077581,-77.641934
ELEC,NY,,1,1,40.86019,-73.16156
ELEC,NY,,1,,42.764517,-73.88522
ELEC,NY,,1,1,40.80991,-73.50773
ELEC,NY,,1,,42.095812,-76.003703
ELEC,NY,,1,,41.587383,-73.908392
ELEC,NY,,1,,43.204065,-77.478237
ELEC,NY,,1,1,40.75447,-73.56217
ELEC,NY,,1,,42.96275,-78.691132
ELEC,NY,,2,1,41.28939711,-73.83674804
ELEC,ME,,2,1,44.129326,-70.224225
ELEC,MI,,1,2,42.2841,-83.80862
ELEC,MI,,1,1,43.0363,-85.61852
ELEC,MI,,3,,42.912537,-85.558232
ELEC,MI,,1,,43.48688,-83.97433
ELEC,MI,,1,,44.74352,-85.59523
ELEC,MI,,1,1,42.553452,-83.175063
ELEC,NC,,2,,35.867552,-78.543695
ELEC,NH,,1,,43.187837,-71.497717
ELEC,NH,,1,,43.077355,-70.785285
